Název části obce;Název ulice;Číslo domovní;PSČ
Bílá Třemešná;;1;54472
Bílá Třemešná;;2;54472
Bílá Třemešná;;3;54472
Bílá Třemešná;;4;54472
Bílá Třemešná;;5;54472
Bílá Třemešná;;6;54472
Bílá Třemešná;;7;54472
Bílá Třemešná;;8;54472
Bílá Třemešná;;9;54472
Bílá Třemešná;;10;54472
Bílá Třemešná;;11;54472
Bílá Třemešná;;12;54472
Bílá Třemešná;;13;54472
Bílá Třemešná;;14;54472
Bílá Třemešná;;15;54472
Bílá Třemešná;;16;54472
Bílá Třemešná;;17;54472
Bílá Třemešná;;18;54472
Bílá Třemešná;;19;54472
Bílá Třemešná;;20;54472
Bílá Třemešná;;22;54472
Bílá Třemešná;;23;54472
Bílá Třemešná;;24;54472
Bílá Třemešná;;25;54472
Bílá Třemešná;;26;54472
Bílá Třemešná;;27;54472
Bílá Třemešná;;28;54472
Bílá Třemešná;;29;54472
Bílá Třemešná;;30;54472
Bílá Třemešná;;31;54472
Bílá Třemešná;;32;54472
Bílá Třemešná;;33;54472
Bílá Třemešná;;34;54472
Bílá Třemešná;;35;54472
Bílá Třemešná;;36;54472
Bílá Třemešná;;37;54472
Bílá Třemešná;;38;54472
Bílá Třemešná;;39;54472
Bílá Třemešná;;40;54472
Bílá Třemešná;;41;54472
Bílá Třemešná;;42;54472
Bílá Třemešná;;43;54472
Bílá Třemešná;;44;54472
Bílá Třemešná;;45;54472
Bílá Třemešná;;46;54472
Bílá Třemešná;;47;54472
Bílá Třemešná;;48;54472
Bílá Třemešná;;49;54472
Bílá Třemešná;;50;54472
Bílá Třemešná;;51;54472
Bílá Třemešná;;52;54472
Bílá Třemešná;;53;54472
Bílá Třemešná;;54;54472
Bílá Třemešná;;55;54472
Bílá Třemešná;;56;54472
Bílá Třemešná;;57;54472
Bílá Třemešná;;58;54472
Bílá Třemešná;;59;54472
Bílá Třemešná;;60;54472
Bílá Třemešná;;61;54472
Bílá Třemešná;;62;54472
Bílá Třemešná;;63;54472
Bílá Třemešná;;64;54472
Bílá Třemešná;;65;54472
Bílá Třemešná;;66;54472
Bílá Třemešná;;67;54472
Bílá Třemešná;;68;54472
Bílá Třemešná;;69;54472
Bílá Třemešná;;70;54472
Bílá Třemešná;;71;54472
Bílá Třemešná;;73;54472
Bílá Třemešná;;74;54472
Bílá Třemešná;;75;54472
Bílá Třemešná;;76;54472
Bílá Třemešná;;77;54472
Bílá Třemešná;;78;54472
Bílá Třemešná;;79;54472
Bílá Třemešná;;80;54472
Bílá Třemešná;;81;54472
Bílá Třemešná;;82;54472
Bílá Třemešná;;83;54472
Bílá Třemešná;;84;54472
Bílá Třemešná;;85;54472
Bílá Třemešná;;86;54472
Bílá Třemešná;;87;54472
Bílá Třemešná;;88;54472
Bílá Třemešná;;89;54472
Bílá Třemešná;;90;54472
Bílá Třemešná;;91;54472
Bílá Třemešná;;92;54472
Bílá Třemešná;;93;54472
Bílá Třemešná;;94;54472
Bílá Třemešná;;95;54472
Bílá Třemešná;;96;54472
Bílá Třemešná;;97;54472
Bílá Třemešná;;98;54472
Bílá Třemešná;;99;54472
Bílá Třemešná;;100;54472
Bílá Třemešná;;101;54472
Bílá Třemešná;;102;54472
Bílá Třemešná;;103;54472
Bílá Třemešná;;104;54472
Bílá Třemešná;;105;54472
Bílá Třemešná;;106;54472
Bílá Třemešná;;107;54472
Bílá Třemešná;;108;54472
Bílá Třemešná;;109;54472
Bílá Třemešná;;110;54472
Bílá Třemešná;;111;54472
Bílá Třemešná;;112;54472
Bílá Třemešná;;113;54472
Bílá Třemešná;;114;54472
Bílá Třemešná;;115;54472
Bílá Třemešná;;116;54472
Bílá Třemešná;;117;54472
Bílá Třemešná;;118;54472
Bílá Třemešná;;119;54472
Bílá Třemešná;;120;54472
Bílá Třemešná;;121;54472
Bílá Třemešná;;122;54472
Bílá Třemešná;;123;54472
Bílá Třemešná;;124;54472
Bílá Třemešná;;125;54472
Bílá Třemešná;;126;54472
Bílá Třemešná;;127;54472
Bílá Třemešná;;128;54472
Bílá Třemešná;;129;54472
Bílá Třemešná;;130;54472
Bílá Třemešná;;131;54472
Bílá Třemešná;;132;54472
Bílá Třemešná;;133;54472
Bílá Třemešná;;134;54472
Bílá Třemešná;;135;54472
Bílá Třemešná;;136;54472
Bílá Třemešná;;137;54472
Bílá Třemešná;;138;54472
Bílá Třemešná;;139;54472
Bílá Třemešná;;140;54472
Bílá Třemešná;;141;54472
Bílá Třemešná;;142;54472
Bílá Třemešná;;143;54472
Bílá Třemešná;;144;54472
Bílá Třemešná;;145;54472
Bílá Třemešná;;146;54472
Bílá Třemešná;;147;54472
Bílá Třemešná;;148;54472
Bílá Třemešná;;149;54472
