Název části obce;Název ulice;Číslo domovní;PSČ
Lipnice;;32;54401
Lipnice;;33;54401
Lipnice;;34;54401
Lipnice;;35;54401
Lipnice;;37;54401
Lipnice;;38;54401
Lipnice;;39;54401
Lipnice;;40;54401
Lipnice;;42;54401
Lipnice;;43;54401
Lipnice;;44;54401
Lipnice;;45;54401
Lipnice;;46;54401
Lipnice;;47;54401
Lipnice;;48;54401
Lipnice;;49;54401
Lipnice;;50;54401
Lipnice;;51;54401
Lipnice;;52;54401
Lipnice;;54;54401
Lipnice;;55;54401
Lipnice;5. května;56;54401
Lipnice;;58;54401
Lipnice;;59;54401
Lipnice;;60;54401
Lipnice;;61;54401
Lipnice;;62;54401
Lipnice;;63;54401
Lipnice;;64;54401
Lipnice;5. května;65;54401
Lipnice;;66;54401
Lipnice;;67;54401
Lipnice;;68;54401
Lipnice;;69;54401
Lipnice;;70;54401
Lipnice;;71;54401
Lipnice;;72;54401
Lipnice;;74;54401
Lipnice;;75;54401
Lipnice;;76;54401
Lipnice;;77;54401
Lipnice;;78;54401
Lipnice;;79;54401
Lipnice;;80;54401
Lipnice;;81;54401
Lipnice;;82;54401
Lipnice;;83;54401
Lipnice;;85;54401
Lipnice;;86;54401
Lipnice;;87;54401
Lipnice;;88;54401
Lipnice;;89;54401
Lipnice;;90;54401
Lipnice;;91;54401
Lipnice;;92;54401
Lipnice;;93;54401
Lipnice;;94;54401
Lipnice;;95;54401
Lipnice;;96;54401
Lipnice;;97;54401
Lipnice;;98;54401
Lipnice;;100;54401
Lipnice;;101;54401
Lipnice;;102;54401
Lipnice;;103;54401
Lipnice;;104;54401
Lipnice;;105;54401
Lipnice;;106;54401
Lipnice;;107;54401
Lipnice;;108;54401
Lipnice;;109;54401
Lipnice;;111;54401
Lipnice;;112;54401
Lipnice;;113;54401
Lipnice;;114;54401
Lipnice;;115;54401
Lipnice;;116;54401
Lipnice;;117;54401
Lipnice;;118;54401
Lipnice;;119;54401
Lipnice;;120;54401
Lipnice;;124;54401
Lipnice;;126;54401
Lipnice;;127;54401
Lipnice;;128;54401
Lipnice;;129;54401
Lipnice;;130;54401
Lipnice;;131;54401
Lipnice;;132;54401
Lipnice;;133;54401
Lipnice;;134;54401
Verdek;;1;54401
Verdek;;2;54401
Verdek;;3;54401
Verdek;;5;54401
Verdek;;6;54401
Verdek;;7;54401
Verdek;;8;54401
Verdek;;9;54401
Verdek;;10;54401
Verdek;;11;54401
Verdek;;15;54401
Verdek;;16;54401
Verdek;;17;54401
Verdek;;18;54401
Verdek;;21;54401
Verdek;;22;54401
Verdek;;23;54401
Verdek;;24;54401
Verdek;;25;54401
Verdek;;27;54401
Verdek;;28;54401
Verdek;;29;54401
Verdek;;30;54401
Verdek;;31;54401
Verdek;;32;54401
Verdek;;33;54401
Verdek;;34;54401
Verdek;;35;54401
Verdek;;36;54401
Verdek;;37;54401
Verdek;;38;54401
Verdek;;42;54401
Verdek;;44;54401
Verdek;;45;54401
Verdek;;46;54401
Verdek;;49;54401
Verdek;;50;54401
Verdek;;51;54401
